Donor,CAR,EffectorTargetRatio,MFI_FSC-A,MFI_SSC-A,MFI_CD5,MFI_CD39,MFI_CD27,MFI_CTLA-4(CD152),MFI_CD4,MFI_CCR5,MFI_CD49d,MFI_CD134,MFI_CD25,MFI_CD197,MFI_CD183,MFI_CD44,MFI_CD69,MFI_CCR4,MFI_CD11a,MFI_CD3,MFI_CD45RO,MFI_PD-1,MFI_CD28,MFI_CD278,MFI_TIM-3,MFI_CD7,MFI_CD137,MFI_CD45RA,MFI_CD45,MFI_CD95,MFI_LAG3,MFI_CD161,MFI_HLA-DR,MFI_CD2,MFI_CD8
A,19_28z,0.2,377.50149345967657,204.00762179421156,614.7007930785869,373.8392213410238,300.00988773303123,366.67535276547534,496.66567102688225,514.4973735709136,540.5364095169431,262.4067360181275,588.155010814708,336.4961376042847,381.0960964053971,650.3860335770934,277.05592748995775,290.74672983829436,666.5607168606448,579.7619734267175,584.1761252446184,354.12833453496756,477.1839530332681,578.1368833041508,482.614584406221,464.9496343598723,277.43423627562055,413.69172932330827,452.93851066021216,662.1968276856525,612.7124317643423,247.48624987125348,629.7433309300649,549.6545473272222,470.0235863631682
A,19_28z,0.5,398.1502629601803,247.01744719926538,601.6187494782536,362.8215209950747,288.9138492361633,385.85624843476086,515.2012688872193,521.2553635528842,529.8115869438184,220.6614909424827,632.330411553552,311.0242090324735,402.20677852909256,669.8459804658152,266.25561399115117,269.49169379747894,680.6536438767844,573.5627347858753,607.2587862091995,391.0219550880708,462.1318140078471,613.9070874029552,474.0690374822606,475.3160530929126,281.57567409633526,406.2394189832206,419.5426162450956,695.4231571917522,685.7519826362801,275.74263294098006,627.3011102763169,521.6600717923031,491.9500793054512
A,19_28z,1,388.7758123899472,213.2145029614215,590.3103089482952,336.7201856891308,294.28893869057146,358.8889066752041,521.4908756202977,460.6483912277893,513.3303985913238,210.10749159596605,634.9415719545382,303.0248119097167,393.48303185529056,650.5246518328797,260.9504562189851,276.36153353609734,673.742196254202,564.1544741475908,607.2608452056987,387.9537377941412,424.5657915799584,599.6403073475268,474.63942692492395,495.70585881222985,286.70329758283975,352.53961901712825,487.80814791099726,674.5018408836241,677.8384824715864,241.8596926524732,611.0926844885545,520.8672963022251,469.4819113174324
A,19_28z,2,346.8739624391375,196.69865522837932,572.1494087642012,323.51530257361463,301.1783213540459,331.90767447252495,514.6299559471365,396.45859030837005,506.7819383259912,208.63456990493856,572.2260143751449,298.2781822397403,353.32972408996056,596.0342221191746,259.66976582425224,290.3080222582889,633.8288198469743,555.247924878275,605.4310224901461,364.79260375608624,412.2966380709483,574.1521678645954,426.36118710874103,467.8773475539068,291.1625086946441,358.52541154648736,458.36172038024574,629.8688383955483,639.5683746811964,220.263667980524,603.6275910039416,472.9842105263158,437.3596800370971
A,19_BBz,0.2,386.86185622317595,245.52548283261802,572.9133583690987,423.7618025751073,303.531652360515,478.98792918454933,544.368830472103,635.2778969957081,521.8916309012875,228.56142703862662,521.0761802575107,365.18723175965664,426.90853004291847,616.7982832618026,329.6885729613734,272.86078326180257,627.5305793991416,580.1939377682403,584.0045600858369,373.8331545064378,486.8766094420601,574.7414163090128,401.5788626609442,418.3192060085837,305.3656115879828,436.3141094420601,468.54747854077254,616.5874463519314,725.0230686695279,222.48900214592274,698.113465665236,501.1030042918455,471.5539163090129
A,19_BBz,0.5,417.28919093851135,265.0066019417476,603.7115857605178,395.1350161812298,280.76142394822006,461.9061488673139,552.0620064724919,606.9865372168284,506.8238187702265,206.16375404530746,609.3603883495146,355.8177346278317,441.94174757281553,675.0371521035598,316.7514563106796,231.4884142394822,681.5187055016181,572.0577346278317,642.7201294498382,367.94666666666666,521.41786407767,618.5975404530744,424.3926213592233,448.28012944983817,292.88763754045306,406.5531391585761,436.6832362459547,703.3612944983819,738.5240129449838,229.47184466019417,687.6761165048543,437.9194822006472,531.1825242718446
A,19_BBz,1,401.9632941577244,215.10177141883835,576.3687617101004,376.998126383921,290.14954862885367,381.34900357690344,488.9374893544541,488.79100664282066,453.103134048714,244.97939022313065,579.3007153806848,316.96107988417646,386.4332311360927,625.8943961846363,274.01345597002216,249.2076307273037,658.1911088400614,550.0616590018736,620.2076307273037,318.42880258899675,469.78368250723895,567.9831374552887,458.2037983307784,476.248339294839,280.2523420200988,342.0383239652529,463.8877533639925,682.7165729858627,696.7902401635156,206.7799352750809,633.590103900528,461.85402827456994,529.4388519843297
A,19_BBz,2,357.65853501129396,201.61426266537592,586.9248144562762,354.2038076798967,288.70403355921263,355.38812520167795,487.7403678606002,436.49783801226204,439.77992900935783,257.92397547596,571.3250726040658,325.5923201032591,388.6780897063569,610.3484349790255,261.40032268473703,267.65814778960953,654.4818973862536,556.1378509196516,643.4232978380122,319.810906744111,487.9195224265892,558.7492739593417,500.8584704743466,508.69932236205227,261.20884156179415,290.935204904808,472.1648273636657,696.4945466279445,665.8879638593095,193.37360438851243,620.6437560503388,436.39290093578575,503.38315585672797
A,22_28z,0.2,401.454883145024,226.7695403188361,611.0780065005417,386.59851416189446,292.532734870763,385.3564463705309,514.0981272248878,562.0139297322396,539.7987927565392,219.39250889955116,645.9625444977557,343.7008203064541,426.0074291905278,696.5358303668163,264.0360625290203,311.78687509673426,693.193313728525,566.0468967652066,625.6330289428881,412.2508899551153,532.1677758860858,610.1077232626528,510.77960068100913,442.8079244698963,280.65129236960223,426.25475932518185,499.2112676056338,688.4364649435072,708.2041479647113,256.8170561832534,587.3405045658567,589.8582262807615,505.3629469122427
A,22_28z,0.5,400.3438914027149,219.02810914575622,605.9173179761415,367.069107363225,285.96434937611406,371.379679144385,490.74400109694227,504.7891128479364,519.9070341423283,198.32661456190868,640.1441107911696,308.62539421362953,415.9823118058412,686.6791443850267,243.9935554641437,282.7279583161936,695.8288770053476,558.9677773207185,632.053613053613,374.46441793500617,521.076100370218,608.284930755519,463.28822158233925,452.0889894419306,273.82311805841215,400.5944055944056,480.6493898258604,705.0231729055258,692.1975867269985,257.88536953242834,558.3023447141094,563.0382558617853,521.6385575209105
